GET 		 / 		 200 		 0 ms 
POST 		 /api/v1/on-covid-19 		 200 		 2 ms 
GET 		 / 		 200 		 0 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 2 ms 
POST 		 /api/v1/on-covid-19 		 200 		 1 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 1 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 1 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 3 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 2 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 2 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 1 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 2 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 1 ms 
POST 		 /api/v1/on-covid-19 		 200 		 7 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 3 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 11 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 14 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 12 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 21 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 1 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 4 ms 
POST 		 /api/v1/on-covid-19/xml 		 200 		 4 ms 
